result_id	state	evidence_class	job_ids	artifact	candidate_revision	baseline	planned_games	completed_games	wins	draws	losses	score_rate	interpretation
codex1100-current-broad	completed	exploratory	16021104,16021105,16021436,16021490,16021740,16021922,16022155,16022521	packages/chronodivide-bot-driver/benchmark-results/campaigns/codex1100-current-broad	unrecoverable-working-tree	modified-local-shared-package	192	192	182	3	7	0.9557291667	Raw counts reproduce; source and clean-control provenance fail
external-profile-on-v2	completed	infrastructure-diagnostic	20965700(actual-account=prio_btk22)	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/pilot/external-profile-on-v2	d942016-plus-uncommitted-audit	clean-upstream-165b77a-shared-api	2	2	1	1	0	0.75	External source isolation works; no scientific inference; Slurm correction: fallback ran on prio_btk22, not requested pi_jss233
external-profile-off	completed-invalid	invalid-ablation-diagnostic	20965700(actual-account=prio_btk22)	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/pilot/external-profile-off	d942016-plus-uncommitted-audit	clean-upstream-165b77a-shared-api	2	2	2	0	0	1.0	Old flag left strategy profiles and exact tactics active; Slurm correction: fallback ran on prio_btk22, not requested pi_jss233
external-profile-on-initial	failed	infrastructure-diagnostic	20965700(actual-account=prio_btk22)	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/pilot/external-profile-on	d942016-plus-uncommitted-audit	clean-upstream-165b77a-separate-api	2	0					Failed safely because duplicate API classes broke instanceof identity; Slurm correction: fallback ran on prio_btk22, not requested pi_jss233
audit-pilot-v1-prehash	completed-superseded	infrastructure-pilot	20965700(actual-account=prio_btk22)	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/pilot/audit-pilot-v1/allocation-20965700	d942016-plus-uncommitted-audit	clean-upstream-165b77a-shared-api	32	32	12	10	10	0.53125	Completed 32-game infrastructure pass; schema 1 omitted exact runtime-tree hashes, so excluded; Slurm correction: fallback ran on prio_btk22, not requested pi_jss233
audit-pilot-v1-schema2	completed	infrastructure-pilot	20965700(actual-account=prio_btk22)	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/pilot/audit-pilot-v1/allocation-20965700-v2	d942016+diff-001e9e85+runtime-a0f8d027-0a334cd3	165b77a+runtime-34349919+shared-api-2498499d	32	32	11	12	9	0.53125	Complete design and uniform runtime/content hashes; scheduler provenance invalid; one simple map only, never paper evidence; Slurm correction: fallback ran on prio_btk22, not requested pi_jss233
preflight-generic-fixed-a	failed	infrastructure-diagnostic	20965700(actual-account=prio_btk22)	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/pilot/preflight-generic-fixed-a	d942016-plus-uncommitted-audit	invalid-baseline-package-root	1	0					Failed safely before games because baseline package root pointed one level too high; Slurm correction: fallback ran on prio_btk22, not requested pi_jss233
preflight-generic-fixed-a-v2	completed	infrastructure-diagnostic	20965700(actual-account=prio_btk22)	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/pilot/preflight-generic-fixed-a-v2	d942016-plus-uncommitted-audit	clean-upstream-165b77a-shared-api	1	1	0	1	0	0.5	Corrected generic flags and physical starts; single time-cap draw, no scientific inference; Slurm correction: fallback ran on prio_btk22, not requested pi_jss233
determinism-screen-v1	completed	infrastructure-diagnostic	20965700(actual-account=prio_btk22)	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/pilot/determinism-screen-v1/allocation-20965700	d942016+diff-001e9e85+runtime-a0f8d027-078ebaa7	165b77a+runtime-34349919+shared-api-2498499d	4	4	0	1	3	0.125	Four distinct terminal signatures under identical effective config; wall-clock-derived seed uncontrolled, independence unproven; Slurm correction: fallback ran on prio_btk22, not requested pi_jss233
seed-control-smoke-v1	completed	infrastructure-diagnostic	local-login-node(no-slurm)	/nfs/roberts/scratch/pi_jss233/zc362/chrono_divide-paper-audit/seed-control-smoke-v1	d942016-plus-uncommitted-seed-control	clean-upstream-165b77a-shared-api	1	1	0	1	0	0.5	One-tick seed/provenance smoke only: requestedEngineSeed=424242, botRandomSeed=2654011531, epochMs=424242000, wallTimeMs=220; not scientific evidence and no further login-node simulation permitted
